id	y_hat
278	pos
279	pos
280	pos
281	neg
282	neg
283	neg
284	neg
285	pos
286	neg
287	pos
288	pos
289	pos
290	neg
291	pos
292	neg
293	neg
294	neg
295	neg
296	neg
297	neg
298	pos
299	pos
300	pos
301	neg
302	neg
303	pos
304	pos
305	neg
306	neg
307	pos
308	pos
309	pos
310	pos
311	pos
312	neg
313	pos
314	pos
315	pos
316	neg
317	neg
318	neg
319	neg
320	neg
321	neg
322	neg
323	neg
324	pos
325	pos
326	neg
327	neg
328	pos
329	neg
330	pos
331	neg
332	pos
333	neg
334	pos
335	pos
336	neg
337	neg
338	neg
339	neg
340	pos
341	neg
342	pos
343	pos
344	neg
345	pos
346	neg
347	pos
348	pos
349	neg
350	neg
351	pos
352	neg
353	pos
354	pos
355	neg
356	pos
357	pos
358	pos
359	neg
360	neg
361	neg
362	neg
363	pos
364	pos
365	pos
366	pos
367	pos
368	neg
369	neg
370	pos
371	pos
372	neg
373	pos
374	neg
375	pos
376	neg
377	pos
378	pos
379	neg
380	neg
381	pos
382	neg
383	pos
384	pos
385	neg
386	pos
387	neg
388	pos
389	pos
390	neg
391	neg
392	neg
393	pos
394	pos
395	neg
396	neg
397	neg
398	pos
399	neg
400	neg
401	pos
402	pos
403	pos
404	pos
405	pos
406	pos
407	neg
408	pos
409	neg
410	pos
411	pos
412	pos
413	neg
414	neg
415	pos
416	neg
417	neg
418	neg
419	neg
420	neg
421	pos
422	pos
423	pos
424	neg
425	pos
426	pos
427	neg
428	neg
429	neg
430	pos
431	neg
432	pos
433	neg
434	neg
435	neg
436	neg
437	pos
438	neg
439	pos
440	pos
441	neg
442	pos
443	pos
444	neg
445	neg
446	pos
447	neg
448	neg
449	neg
450	pos
451	pos
452	pos
453	pos
454	pos
455	pos
456	pos
457	pos
458	pos
459	pos
460	pos
461	pos
462	neg
463	neg
464	pos
465	pos
466	neg
467	neg
468	neg
469	pos
470	pos
471	pos
472	pos
473	pos
474	neg
475	neg
476	pos
477	neg
478	pos
479	pos
480	pos
481	pos
482	pos
483	neg
484	neg
485	neg
486	pos
487	neg
488	pos
489	pos
490	pos
491	neg
492	pos
493	neg
494	pos
495	neg
496	neg
497	neg
498	pos
499	pos
500	neg
501	neg
502	pos
503	pos
504	neg
505	pos
506	pos
507	pos
508	pos
509	pos
510	neg
511	neg
512	pos
513	pos
514	pos
515	pos
516	pos
517	pos
518	neg
519	pos
520	neg
521	neg
522	neg
523	neg
524	neg
525	neg
526	neg
527	pos
528	pos
529	pos
530	neg
531	pos
532	neg
533	pos
534	neg
535	neg
536	pos
537	pos
538	pos
539	neg
540	pos
541	pos
542	pos
543	pos
544	pos
545	pos
546	pos
547	pos
548	pos
549	neg
550	neg
551	pos
552	neg
553	pos
554	neg
555	pos
556	neg
557	pos
558	pos
559	neg
560	pos
561	pos
562	pos
563	pos
564	neg
565	pos
566	neg
567	pos
568	pos
569	pos
570	neg
571	pos
572	pos
573	neg
574	pos
575	pos
576	neg
577	neg
578	neg
579	neg
580	pos
581	neg
582	neg
583	neg
584	neg
585	pos
586	neg
587	neg
588	pos
589	neg
590	neg
591	pos
592	pos
593	neg
594	neg
595	pos
596	pos
597	pos
598	neg
599	pos
600	neg
601	neg
602	pos
603	pos
604	pos
605	pos
606	pos
607	pos
608	pos
609	neg
610	neg
611	pos
612	neg
613	pos
614	pos
615	neg
616	pos
617	neg
618	pos
619	neg
620	neg
621	pos
622	neg
623	pos
624	neg
625	neg
626	pos
627	neg
628	neg
629	neg
630	pos
631	pos
632	pos
633	neg
634	pos
635	pos
636	neg
637	pos
638	pos
639	pos
640	pos
641	pos
642	neg
643	neg
644	neg
645	pos
646	pos
647	neg
648	pos
649	pos
650	neg
651	neg
652	neg
653	pos
654	neg
655	neg
656	neg
657	pos
658	neg
659	pos
660	pos
661	neg
662	pos
663	neg
664	neg
665	pos
666	neg
667	neg
668	neg
669	neg
670	neg
671	neg
672	pos
673	neg
674	pos
675	neg
676	pos
677	neg
678	neg
679	neg
680	pos
681	pos
682	pos
683	neg
684	pos
685	pos
686	pos
687	neg
688	pos
689	pos
690	pos
691	neg
692	neg
693	neg
694	neg
695	neg
696	pos
697	pos
698	neg
699	neg
700	pos
701	pos
702	neg
703	neg
704	pos
705	neg
706	neg
707	neg
708	pos
709	neg
710	pos
711	neg
712	neg
713	neg
714	neg
715	neg
716	neg
717	pos
718	pos
719	pos
720	neg
721	pos
722	pos
723	neg
724	pos
725	pos
726	neg
727	pos
728	neg
729	neg
730	pos
731	pos
732	neg
733	neg
734	neg
735	pos
736	pos
737	neg
738	pos
739	pos
740	neg
741	neg
742	neg
743	neg
744	pos
745	pos
746	neg
747	pos
748	pos
749	neg
750	neg
751	pos
752	neg
753	neg
754	pos
755	neg
756	pos
757	neg
758	neg
759	pos
760	neg
761	neg
762	neg
763	pos
764	neg
765	pos
766	neg
767	neg
768	pos
769	pos
770	pos
771	pos
772	pos
773	pos
774	pos
775	pos
776	pos
777	pos
778	pos
779	pos
780	neg
781	neg
782	neg
783	neg
784	neg
785	pos
786	neg
787	neg
788	pos
789	neg
790	pos
791	pos
792	neg
793	pos
794	pos
795	pos
796	pos
797	pos
798	pos
799	pos
800	neg
801	neg
802	neg
803	neg
804	neg
805	pos
806	neg
807	neg
808	neg
809	neg
810	neg
811	neg
812	pos
813	neg
814	neg
815	pos
816	pos
817	pos
818	pos
819	pos
820	neg
821	neg
822	neg
823	pos
824	neg
825	pos
826	pos
827	pos
828	neg
829	pos
830	pos
831	pos
832	pos
833	neg
834	neg
835	pos
836	neg
837	neg
838	neg
839	pos
840	pos
841	pos
842	pos
843	pos
844	neg
845	neg
846	neg
847	neg
848	pos
849	neg
850	pos
851	neg
852	neg
853	pos
854	neg
855	pos
856	neg
857	neg
858	neg
859	neg
860	pos
861	neg
862	neg
863	neg
864	pos
865	neg
866	pos
867	neg
868	neg
869	neg
870	neg
871	neg
872	neg
873	neg
874	pos
875	pos
876	pos
877	pos
878	neg
879	neg
880	pos
881	neg
882	pos
883	neg
884	neg
885	neg
886	neg
887	pos
888	pos
889	pos
890	pos
891	neg
892	pos
893	pos
894	neg
895	pos
896	pos
897	pos
898	pos
899	pos
900	pos
901	neg
902	pos
903	neg
904	pos
905	neg
906	pos
907	neg
908	neg
909	neg
910	pos
911	pos
912	pos
913	neg
914	neg
915	pos
916	pos
917	pos
918	neg
919	pos
920	neg
921	pos
922	pos
923	pos
924	pos
925	neg
926	neg
927	pos
928	pos
929	pos
930	pos
931	neg
932	pos
933	neg
934	pos
935	neg
936	pos
937	pos
938	pos
939	neg
940	pos
941	pos
942	pos
943	pos
944	neg
945	pos
946	pos
947	pos
948	neg
949	pos
950	pos
951	neg
952	pos
953	neg
954	pos
955	neg
956	neg
957	pos
958	pos
959	pos
960	pos
961	pos
962	neg
963	pos
964	pos
965	pos
966	neg
967	pos
968	neg
969	neg
970	pos
971	neg
972	pos
973	neg
974	neg
975	neg
976	neg
977	pos
978	pos
979	neg
980	pos
981	neg
982	pos
983	neg
984	neg
985	neg
986	neg
987	neg
988	pos
989	neg
990	pos
991	pos
992	pos
993	neg
994	pos
995	neg
996	pos
997	neg
998	neg
999	neg
1000	neg
1001	pos
1002	neg
1003	pos
1004	pos
1005	pos
1006	pos
1007	pos
1008	neg
1009	neg
1010	neg
1011	neg
1012	pos
1013	neg
1014	neg
1015	neg
1016	neg
1017	neg
1018	neg
1019	pos
1020	pos
1021	pos
1022	pos
1023	neg
1024	neg
1025	neg
1026	pos
1027	neg
1028	pos
1029	pos
1030	neg
1031	pos
1032	pos
1033	pos
1034	neg
1035	neg
1036	pos
1037	neg
1038	neg
1039	neg
1040	pos
1041	pos
1042	neg
1043	pos
1044	neg
1045	pos
1046	pos
1047	pos
1048	pos
1049	neg
1050	neg
1051	pos
1052	neg
1053	pos
1054	pos
1055	pos
1056	pos
1057	neg
1058	pos
1059	neg
1060	neg
1061	neg
1062	pos
1063	neg
1064	neg
1065	neg
1066	pos
1067	neg
1068	pos
1069	neg
1070	neg
1071	pos
1072	pos
1073	neg
1074	pos
1075	pos
1076	pos
1077	pos
1078	pos
1079	pos
1080	pos
1081	neg
1082	pos
1083	neg
1084	neg
1085	neg
1086	neg
1087	neg
1088	neg
1089	neg
1090	neg
1091	neg
1092	neg
1093	pos
1094	pos
1095	neg
1096	neg
1097	neg
1098	pos
1099	pos
1100	pos
1101	neg
1102	neg
1103	pos
1104	pos
1105	pos
1106	neg
1107	neg
1108	pos
1109	neg
1110	pos
1111	neg
1112	neg
1113	neg
1114	pos
1115	neg
1116	pos
1117	neg
1118	neg
1119	pos
1120	neg
1121	pos
1122	neg
1123	pos
1124	neg
1125	pos
1126	pos
1127	pos
1128	pos
1129	pos
1130	pos
1131	neg
1132	pos
1133	neg
1134	neg
1135	neg
1136	pos
1137	pos
1138	neg
1139	neg
1140	neg
1141	pos
1142	pos
1143	neg
1144	neg
1145	neg
1146	pos
1147	neg
1148	neg
1149	neg
1150	neg
1151	pos
1152	pos
1153	neg
1154	neg
1155	pos
1156	pos
1157	pos
1158	pos
1159	pos
1160	neg
1161	neg
1162	pos
1163	neg
1164	pos
1165	neg
1166	neg
1167	neg
1168	pos
1169	pos
1170	pos
1171	neg
1172	neg
1173	neg
1174	neg
1175	neg
1176	neg
1177	pos
1178	neg
1179	pos
1180	neg
1181	pos
1182	neg
1183	pos
1184	pos
1185	neg
1186	neg
1187	pos
1188	pos
1189	pos
1190	neg
1191	neg
1192	neg
1193	pos
1194	pos
1195	pos
1196	neg
1197	pos
1198	pos
1199	neg
1200	neg
1201	pos
1202	neg
1203	pos
1204	pos
1205	pos
1206	neg
1207	pos
1208	pos
1209	neg
1210	neg
1211	pos
1212	pos
1213	pos
1214	neg
1215	neg
1216	neg
1217	neg
1218	neg
1219	neg
1220	neg
1221	pos
1222	neg
1223	pos
1224	neg
1225	neg
1226	neg
1227	pos
1228	neg
1229	neg
1230	neg
1231	pos
1232	neg
1233	neg
1234	pos
1235	neg
1236	neg
1237	neg
1238	neg
1239	pos
1240	pos
1241	pos
1242	pos
1243	pos
1244	pos
1245	neg
1246	pos
1247	pos
1248	pos
1249	neg
1250	pos
1251	pos
1252	neg
1253	pos
1254	pos
1255	neg
1256	neg
1257	neg
1258	neg
1259	neg
1260	neg
1261	neg
1262	pos
1263	neg
1264	neg
1265	neg
1266	pos
1267	pos
1268	pos
1269	pos
1270	neg
1271	pos
1272	neg
1273	neg
1274	pos
1275	pos
1276	neg
1277	pos
1278	neg
1279	pos
1280	neg
1281	pos
1282	neg
1283	neg
1284	pos
1285	pos
1286	pos
1287	pos
1288	neg
1289	neg
1290	pos
1291	neg
1292	pos
1293	pos
1294	neg
1295	pos
1296	neg
1297	neg
1298	neg
1299	neg
1300	pos
1301	neg
1302	neg
1303	neg
1304	neg
1305	neg
1306	neg
1307	pos
1308	neg
1309	neg
1310	pos
1311	pos
1312	pos
1313	pos
1314	neg
1315	neg
1316	neg
1317	pos
1318	neg
1319	pos
1320	neg
1321	neg
1322	neg
1323	pos
1324	pos
1325	pos
1326	neg
1327	neg
1328	pos
1329	neg
1330	pos
1331	neg
1332	pos
1333	pos
1334	neg
1335	neg
1336	neg
1337	pos
1338	pos
1339	neg
1340	neg
1341	pos
1342	pos
1343	pos
1344	pos
1345	neg
1346	neg
1347	neg
1348	neg
1349	pos
1350	pos
1351	pos
1352	pos
1353	neg
1354	neg
1355	neg
1356	pos
1357	neg
1358	pos
1359	neg
1360	pos
1361	neg
1362	pos
1363	neg
1364	neg
1365	neg
1366	pos
1367	neg
1368	neg
1369	neg
1370	pos
1371	pos
1372	neg
1373	pos
1374	neg
1375	pos
1376	pos
1377	neg
1378	pos
1379	pos
1380	pos
1381	pos
1382	pos
1383	neg
1384	pos
1385	pos
1386	neg
1387	neg
1388	pos
1389	neg
1390	pos
1391	pos
1392	neg
1393	pos
1394	neg
1395	neg
1396	pos
1397	neg
1398	neg
1399	pos
1400	neg
1401	pos
1402	neg
1403	neg
1404	pos
1405	neg
1406	neg
1407	pos
1408	pos
1409	pos
1410	neg
1411	neg
1412	pos
1413	neg
1414	neg
1415	pos
1416	pos
1417	neg
1418	neg
1419	neg
1420	pos
1421	neg
1422	pos
1423	neg
1424	pos
1425	pos
1426	pos
1427	pos
1428	pos
1429	pos
1430	neg
1431	neg
1432	pos
1433	neg
1434	pos
1435	pos
1436	pos
1437	neg
1438	pos
1439	neg
1440	neg
1441	pos
1442	pos
1443	neg
1444	neg
1445	neg
1446	neg
1447	pos
1448	neg
1449	neg
1450	pos
1451	pos
1452	neg
1453	pos
1454	pos
1455	pos
1456	neg
1457	pos
1458	neg
1459	neg
1460	neg
1461	pos
1462	pos
1463	pos
1464	neg
1465	pos
1466	neg
1467	pos
1468	pos
1469	pos
1470	pos
1471	pos
1472	pos
1473	neg
1474	pos
1475	pos
1476	pos
1477	neg
1478	pos
1479	neg
1480	neg
1481	pos
1482	neg
1483	neg
1484	pos
1485	pos
1486	neg
1487	pos
1488	pos
1489	pos
1490	pos
1491	pos
1492	pos
1493	pos
1494	pos
1495	pos
1496	neg
1497	neg
1498	pos
1499	neg
1500	pos
1501	neg
1502	pos
1503	neg
1504	pos
1505	neg
1506	pos
1507	neg
1508	pos
1509	neg
1510	neg
1511	neg
1512	neg
1513	pos
1514	neg
1515	pos
1516	pos
1517	neg
1518	pos
1519	pos
1520	pos
1521	neg
1522	neg
1523	neg
1524	pos
1525	neg
1526	pos
1527	neg
1528	pos
1529	pos
1530	pos
1531	pos
1532	neg
1533	neg
1534	neg
1535	pos
1536	pos
1537	pos
1538	neg
1539	pos
1540	pos
1541	pos
1542	neg
1543	pos
1544	pos
1545	pos
1546	pos
1547	neg
1548	neg
1549	pos
1550	neg
1551	pos
1552	pos
1553	pos
1554	pos
1555	pos
1556	pos
1557	pos
1558	neg
1559	neg
1560	pos
1561	neg
1562	pos
1563	pos
1564	pos
1565	pos
1566	neg
1567	neg
1568	neg
1569	neg
1570	pos
1571	pos
1572	neg
1573	pos
1574	pos
1575	neg
1576	neg
1577	pos
1578	neg
1579	neg
1580	neg
1581	pos
1582	pos
1583	neg
1584	pos
1585	neg
1586	pos
1587	pos
1588	neg
1589	neg
1590	neg
1591	pos
1592	neg
1593	neg
1594	neg
1595	neg
1596	pos
1597	neg
1598	neg
1599	pos
1600	neg
1601	pos
1602	neg
1603	pos
1604	pos
1605	neg
1606	pos
1607	neg
1608	neg
1609	neg
1610	pos
1611	pos
1612	pos
1613	pos
1614	pos
1615	neg
1616	neg
1617	pos
1618	pos
1619	pos
1620	neg
1621	pos
1622	pos
1623	pos
1624	neg
1625	pos
1626	pos
1627	neg
1628	pos
1629	neg
1630	pos
1631	neg
1632	neg
1633	neg
1634	pos
1635	pos
1636	pos
1637	neg
1638	neg
1639	neg
1640	pos
1641	pos
1642	neg
1643	neg
1644	pos
1645	pos
1646	neg
1647	pos
1648	neg
1649	neg
1650	neg
1651	pos
1652	pos
1653	neg
1654	neg
1655	pos
1656	pos
1657	neg
1658	pos
1659	neg
1660	neg
1661	neg
1662	pos
1663	neg
1664	neg
1665	pos
1666	pos
1667	pos
1668	pos
1669	neg
1670	pos
1671	neg
1672	pos
1673	neg
1674	pos
1675	neg
1676	neg
1677	neg
1678	neg
1679	pos
1680	pos
1681	neg
1682	pos
1683	pos
1684	pos
1685	pos
1686	neg
1687	pos
1688	pos
1689	pos
1690	neg
1691	pos
1692	neg
1693	pos
1694	pos
1695	pos
1696	pos
1697	neg
1698	neg
1699	neg
1700	neg
1701	pos
1702	neg
1703	neg
1704	neg
1705	neg
1706	pos
1707	pos
1708	pos
1709	neg
1710	neg
1711	neg
1712	pos
1713	pos
1714	neg
1715	neg
1716	neg
1717	pos
1718	pos
1719	pos
1720	pos
1721	neg
1722	neg
1723	neg
1724	neg
1725	pos
1726	pos
1727	neg
1728	pos
1729	pos
1730	neg
1731	neg
1732	neg
1733	neg
1734	pos
1735	pos
1736	pos
1737	neg
1738	pos
1739	pos
1740	neg
1741	neg
1742	neg
1743	pos
1744	neg
1745	pos
1746	neg
1747	neg
1748	pos
1749	neg
1750	pos
1751	pos
1752	neg
1753	neg
1754	neg
1755	neg
1756	pos
1757	neg
1758	pos
1759	pos
1760	pos
1761	pos
1762	pos
1763	neg
1764	pos
1765	pos
1766	neg
1767	neg
1768	pos
1769	pos
1770	neg
1771	pos
1772	pos
1773	pos
1774	pos
1775	pos
1776	neg
1777	pos
1778	pos
1779	pos
1780	neg
1781	neg
1782	neg
1783	neg
1784	neg
1785	neg
1786	pos
1787	neg
1788	neg
1789	neg
1790	neg
1791	pos
1792	pos
1793	pos
1794	pos
1795	neg
1796	pos
1797	pos
1798	neg
1799	neg
1800	pos
1801	pos
1802	pos
1803	pos
1804	pos
1805	pos
1806	pos
1807	neg
1808	neg
1809	neg
1810	neg
1811	pos
1812	neg
1813	neg
1814	pos
1815	neg
1816	pos
1817	pos
1818	neg
1819	pos
1820	pos
1821	neg
1822	pos
1823	pos
1824	pos
1825	neg
1826	pos
1827	neg
1828	neg
1829	pos
1830	neg
1831	neg
1832	pos
1833	pos
1834	pos
1835	neg
1836	neg
1837	neg
1838	neg
1839	neg
1840	pos
1841	pos
1842	neg
1843	neg
1844	pos
1845	pos
1846	pos
1847	pos
1848	pos
1849	pos
1850	neg
1851	neg
1852	neg
1853	neg
1854	pos
1855	pos
1856	pos
1857	pos
1858	pos
1859	neg
1860	neg
1861	pos
1862	pos
1863	neg
1864	pos
1865	pos
1866	pos
1867	neg
1868	neg
1869	neg
1870	pos
1871	pos
1872	neg
1873	neg
1874	neg
1875	neg
1876	pos
1877	pos
1878	neg
1879	pos
1880	neg
1881	pos
1882	pos
1883	neg
1884	neg
1885	pos
1886	pos
1887	neg
1888	pos
1889	neg
1890	neg
1891	neg
1892	pos
1893	pos
1894	pos
1895	neg
1896	pos
1897	pos
1898	neg
1899	pos
1900	neg
1901	neg
1902	neg
1903	neg
1904	pos
1905	pos
1906	pos
1907	pos
1908	pos
1909	pos
1910	neg
1911	pos
1912	pos
1913	pos
1914	pos
1915	neg
1916	pos
1917	neg
1918	pos
1919	neg
1920	pos
1921	pos
1922	neg
1923	pos
1924	pos
1925	neg
1926	pos
1927	pos
1928	pos
1929	neg
1930	pos
1931	pos
1932	neg
1933	neg
1934	pos
1935	neg
1936	neg
1937	pos
1938	pos
1939	pos
1940	neg
1941	neg
1942	pos
1943	neg
1944	pos
1945	neg
1946	neg
1947	pos
1948	pos
1949	neg
1950	neg
1951	neg
1952	neg
1953	neg
1954	neg
1955	pos
1956	neg
1957	neg
1958	pos
1959	pos
1960	pos
1961	neg
1962	neg
1963	neg
1964	neg
1965	neg
1966	pos
1967	neg
1968	neg
1969	pos
1970	neg
1971	pos
1972	pos
1973	pos
1974	pos
1975	neg
1976	pos
1977	pos
1978	pos
1979	neg
1980	pos
1981	pos
1982	neg
1983	pos
1984	pos
1985	neg
1986	neg
1987	pos
1988	pos
1989	pos
1990	pos
1991	pos
1992	neg
1993	pos
1994	neg
1995	neg
1996	neg
1997	neg
1998	pos
1999	pos
2000	neg
2001	neg
2002	pos
2003	pos
2004	neg
2005	pos
2006	neg
2007	neg
2008	pos
2009	neg
2010	neg
2011	neg
2012	pos
2013	pos
2014	pos
2015	neg
2016	pos
2017	pos
2018	pos
2019	pos
2020	pos
2021	pos
2022	neg
2023	neg
2024	pos
2025	pos
2026	neg
2027	neg
2028	neg
2029	neg
2030	neg
2031	pos
2032	neg
2033	pos
2034	pos
2035	neg
2036	neg
2037	neg
2038	neg
2039	pos
2040	pos
2041	pos
2042	neg
2043	neg
2044	neg
2045	pos
2046	pos
2047	neg
2048	neg
2049	neg
2050	neg
2051	neg
2052	pos
2053	neg
2054	neg
2055	neg
2056	neg
2057	pos
2058	pos
2059	pos
2060	pos
2061	pos
2062	pos
2063	pos
2064	neg
2065	neg
2066	pos
2067	neg
2068	pos
2069	pos
2070	pos
2071	neg
2072	pos
2073	pos
2074	neg
2075	neg
2076	neg
2077	neg
2078	neg
2079	neg
2080	pos
2081	neg
2082	pos
2083	neg
2084	neg
2085	pos
2086	neg
2087	neg
2088	pos
2089	neg
2090	pos
2091	pos
2092	pos
2093	pos
2094	pos
2095	pos
2096	neg
2097	pos
2098	pos
2099	neg
2100	pos
2101	pos
2102	neg
2103	neg
2104	neg
2105	neg
2106	pos
2107	pos
2108	neg
2109	neg
2110	pos
2111	neg
2112	pos
2113	neg
2114	pos
2115	neg
2116	neg
2117	neg
2118	neg
2119	neg
2120	neg
2121	pos
2122	neg
2123	pos
2124	neg
2125	neg
2126	pos
2127	pos
2128	pos
2129	pos
2130	neg
2131	neg
2132	pos
2133	neg
2134	pos
2135	pos
2136	neg
2137	pos
2138	neg
2139	pos
2140	pos
2141	neg
2142	pos
2143	neg
2144	pos
2145	neg
2146	neg
2147	pos
2148	neg
2149	neg
2150	pos
2151	neg
2152	neg
2153	neg
2154	neg
2155	neg
2156	pos
2157	pos
2158	neg
2159	pos
2160	pos
2161	pos
2162	neg
2163	pos
2164	neg
2165	neg
2166	pos
2167	neg
2168	pos
2169	pos
2170	neg
2171	pos
2172	neg
2173	neg
2174	neg
2175	pos
2176	pos
2177	pos
2178	neg
2179	neg
2180	neg
2181	neg
2182	pos
2183	neg
2184	pos
2185	neg
2186	pos
2187	neg
2188	pos
2189	pos
2190	neg
2191	neg
2192	pos
2193	pos
2194	pos
2195	pos
2196	neg
2197	neg
2198	pos
2199	pos
2200	pos
2201	neg
2202	pos
2203	pos
2204	pos
2205	neg
2206	neg
2207	neg
2208	neg
2209	neg
2210	neg
2211	neg
2212	neg
2213	pos
2214	neg
2215	neg
2216	neg
2217	neg
2218	neg
2219	pos
2220	neg
2221	neg
2222	neg
2223	neg
2224	pos
2225	pos
2226	neg
2227	neg
2228	pos
2229	pos
2230	neg
2231	pos
2232	pos
2233	pos
2234	pos
2235	neg
2236	pos
2237	neg
2238	pos
2239	neg
2240	neg
2241	pos
2242	pos
2243	neg
2244	pos
2245	pos
2246	neg
2247	pos
2248	neg
2249	neg
2250	neg
2251	neg
2252	pos
2253	neg
2254	neg
2255	pos
2256	pos
2257	neg
2258	pos
2259	pos
2260	neg
2261	pos
2262	pos
2263	neg
2264	neg
2265	neg
2266	neg
2267	neg
2268	neg
2269	pos
2270	neg
2271	neg
2272	neg
2273	neg
2274	pos
2275	pos
2276	pos
2277	pos
2278	pos
2279	neg
2280	neg
2281	neg
2282	pos
2283	neg
2284	pos
2285	pos
2286	neg
2287	neg
2288	pos
2289	neg
2290	neg
2291	pos
2292	pos
2293	pos
2294	pos
2295	neg
2296	neg
2297	neg
2298	neg
2299	neg
2300	neg
2301	pos
2302	neg
2303	neg
2304	pos
2305	pos
2306	pos
2307	neg
2308	pos
2309	neg
2310	neg
2311	pos
2312	pos
2313	neg
2314	pos
2315	pos
2316	pos
2317	neg
2318	pos
2319	neg
2320	pos
2321	pos
2322	neg
2323	pos
2324	neg
2325	pos
2326	neg
2327	neg
2328	pos
2329	pos
2330	neg
2331	pos
2332	neg
2333	neg
2334	pos
2335	pos
2336	pos
2337	neg
2338	neg
2339	neg
2340	pos
2341	neg
2342	neg
2343	pos
2344	neg
2345	neg
2346	neg
2347	pos
2348	pos
2349	pos
2350	neg
2351	neg
2352	pos
2353	pos
2354	pos
2355	neg
2356	neg
2357	neg
2358	neg
2359	neg
2360	neg
2361	pos
2362	neg
2363	pos
2364	pos
2365	pos
2366	neg
2367	pos
2368	pos
2369	pos
2370	neg
2371	neg
2372	pos
2373	pos
2374	pos
2375	pos
2376	pos
2377	neg
2378	neg
2379	neg
2380	pos
2381	pos
2382	pos
2383	neg
2384	pos
2385	neg
2386	pos
2387	pos
2388	pos
2389	pos
2390	neg
2391	neg
2392	pos
2393	pos
2394	pos
2395	pos
2396	neg
2397	neg
2398	neg
2399	neg
2400	neg
2401	neg
2402	pos
2403	pos
2404	pos
2405	neg
2406	neg
2407	pos
2408	neg
2409	pos
2410	pos
2411	neg
2412	pos
2413	pos
2414	neg
2415	neg
2416	neg
2417	pos
2418	pos
2419	pos
2420	neg
2421	neg
2422	neg
2423	pos
2424	pos
2425	neg
2426	pos
2427	neg
2428	neg
2429	pos
2430	neg
2431	pos
2432	pos
2433	neg
2434	neg
2435	pos
2436	pos
2437	pos
2438	neg
2439	neg
2440	pos
2441	neg
2442	neg
2443	neg
2444	pos
2445	pos
2446	pos
2447	neg
2448	neg
2449	pos
2450	neg
2451	neg
2452	neg
2453	pos
2454	neg
2455	neg
2456	pos
2457	pos
2458	pos
2459	neg
2460	pos
2461	pos
2462	neg
2463	neg
2464	neg
2465	pos
2466	neg
2467	pos
2468	neg
2469	neg
2470	pos
2471	pos
2472	pos
2473	neg
2474	neg
2475	neg
2476	neg
2477	pos
2478	pos
2479	pos
2480	neg
2481	pos
2482	pos
2483	neg
2484	pos
2485	neg
2486	pos
2487	neg
2488	neg
2489	pos
2490	neg
2491	pos
2492	pos
2493	pos
2494	pos
2495	pos
2496	pos
